datetime,x,y,z
1989-03-11 14:23:30,16574,-4122,54661
1989-03-11 14:23:40,16574,-4124,54658
1989-03-11 14:23:50,16574,-4123,54659
1989-03-11 14:24:00,16574,-4122,54661
1989-03-11 14:24:10,16574,-4122,54660
1989-03-11 14:24:20,16575,-4123,54659
1989-03-11 14:24:30,16575,-4124,54659
1989-03-11 14:24:40,16575,-4123,54661
1989-03-11 14:24:50,16576,-4122,54661
1989-03-11 14:25:00,16575,-4124,54660
1989-03-11 14:25:10,16574,-4124,54660
1989-03-11 14:25:20,16574,-4123,54660
1989-03-11 14:25:30,16574,-4123,54661
1989-03-11 14:25:40,16574,-4123,54661
1989-03-11 14:25:50,16573,-4123,54661
1989-03-11 14:26:00,16571,-4124,54660
1989-03-11 14:26:10,16573,-4125,54659
1989-03-11 14:26:20,16573,-4126,54659
1989-03-11 14:26:30,16571,-4125,54660
1989-03-11 14:26:40,16573,-4124,54660
1989-03-11 14:26:50,16572,-4125,54659
1989-03-11 14:27:00,16571,-4124,54661
1989-03-11 14:27:10,16572,-4126,54660
1989-03-11 14:27:20,16572,-4125,54661
1989-03-11 14:27:30,16572,-4124,54662
1989-03-11 14:27:40,16572,-4126,54660
1989-03-11 14:27:50,16572,-4124,54661
1989-03-11 14:28:00,16573,-4125,54661
1989-03-11 14:28:10,16573,-4125,54661
1989-03-11 14:28:20,16572,-4126,54660
1989-03-11 14:28:30,16572,-4125,54661
1989-03-11 14:28:40,16572,-4127,54660
1989-03-11 14:28:50,16572,-4126,54660
1989-03-11 14:29:00,16572,-4125,54661
1989-03-11 14:29:10,16572,-4126,54661
1989-03-11 14:29:20,16571,-4128,54659
1989-03-11 14:29:30,16572,-4126,54661
1989-03-11 14:29:40,16571,-4127,54660
1989-03-11 14:29:50,16572,-4127,54660
1989-03-11 14:30:00,16570,-4125,54661
1989-03-11 14:30:10,16571,-4124,54663
1989-03-11 14:30:20,16571,-4124,54662
1989-03-11 14:30:30,16571,-4125,54662
1989-03-11 14:30:40,16571,-4126,54660
1989-03-11 14:30:50,16571,-4126,54661
1989-03-11 14:31:00,16571,-4126,54661
1989-03-11 14:31:10,16572,-4127,54659
1989-03-11 14:31:20,16572,-4125,54661
1989-03-11 14:31:30,16572,-4127,54660
1989-03-11 14:31:40,16572,-4126,54660
1989-03-11 14:31:50,16571,-4126,54661
1989-03-11 14:32:00,16572,-4126,54662
1989-03-11 14:32:10,16571,-4126,54662
1989-03-11 14:32:20,16572,-4127,54662
