Time,Z,dT
1958-02-10 17:57:00,44964.299310295304,21420.00000015594
1958-02-10 17:57:20,44964.416736370564,21440.00000015369
1958-02-10 17:57:40,44964.534162445816,21460.00000015144
1958-02-10 17:58:00,44964.651588521076,21480.000000149194
1958-02-10 17:58:20,44964.76901459633,21500.000000146945
1958-02-10 17:58:40,44964.88644067158,21520.000000144697
1958-02-10 17:59:00,44965.00386674684,21540.00000014245
1958-02-10 17:59:20,44965.12129282209,21560.0000001402
1958-02-10 17:59:40,44965.23871889735,21580.000000137952
1958-02-10 18:00:00,44965.356144972604,21600.000000135704
1958-02-10 18:00:20,44965.47357104786,21620.000000133456
1958-02-10 18:00:40,44965.590997123116,21640.000000131207
1958-02-10 18:01:00,44965.708423198375,21660.00000012896
1958-02-10 18:01:20,44965.82584927363,21680.00000012671
1958-02-10 18:01:40,44965.94327534889,21700.000000124463
1958-02-10 18:02:00,44966.06070142414,21720.000000122214
1958-02-10 18:02:20,44966.17812749939,21740.000000119966
1958-02-10 18:02:40,44966.29555357465,21760.000000117718
1958-02-10 18:03:00,44966.412979649904,21780.00000011547
1958-02-10 18:03:20,44966.53040572516,21800.00000011322
1958-02-10 18:03:40,44966.647831800416,21820.000000110973
1958-02-10 18:04:00,44966.765257875675,21840.000000108725
1958-02-10 18:04:20,44966.88268395093,21860.000000106476
1958-02-10 18:04:40,44967.00011002619,21880.000000104228
1958-02-10 18:05:00,44967.11753610144,21900.00000010198
1958-02-10 18:05:20,44967.2349621767,21920.00000009973
1958-02-10 18:05:40,44967.35238825195,21940.000000097483
1958-02-10 18:06:00,44967.4698143272,21960.000000095235
1958-02-10 18:06:20,44967.58724040246,21980.000000092987
1958-02-10 18:06:40,44967.704666477715,22000.00000009074
1958-02-10 18:07:00,44967.822092552975,22020.00000008849
1958-02-10 18:07:20,44967.93951862823,22040.000000086242
1958-02-10 18:07:40,44968.05694470349,22060.000000083994
1958-02-10 18:08:00,44968.17437077874,22080.000000081745
